NovelisFalzonal,알루미늄,우정특수,160 000원㎡,(시공비·부가세별도)
LAMIDEXfa,알루미늄,선이인터내셔날,160 000원㎡,(알루미늄기준 강판:150 000 시공비포함 부가세별도)
DUOPLEX,알루미늄,선이인터내셔날,140 000원㎡,(시공비포함 부가세별도)
FP-A03,알루미늄,신성아트월,138 000원㎡,(고내후성파우더코팅기준 초나노폴리쟌코팅:144 000 시공비포함 부가세별도)
FT-A03,알루미늄테크패널,신성아트월,130 000원㎡,(고내후성파우더코팅기준 초나노폴리쟌코팅:136 000 시공비포함 부가세별도)
Ecoteel-ALSheet,접합알루미늄,해원엠에스씨,120 000원㎡,(시공비·부가세별도)
Ecoteel-STS,접합스테인레스강판,해원엠에스씨,120 000원㎡,(돌출이음기준 평이음:125 000 시공비·부가세별도)
Ecoteel-STS(발색),접합스테인레스강판,해원엠에스씨,142 000원㎡,(돌출이음기준 평이음:147 000 시공비·부가세별도)
Ecoteel-Cu(동),접합동판,해원엠에스씨,130 000원㎡,(돌출이음기준 평이음:135 000 시공비·부가세별도)
VMZINC,ZINC(티타늄아연판),선이인터내셔날,160 000원㎡,(시공비포함 부가세별도)
ZINK,ZINC(티타늄아연판),디오팬코리아,155 000원㎡,(시공비·부가세별도)
ALUZINC,알루아연도강판,선이인터내셔날,150 000원㎡,(시공비포함 부가세별도)
FP-GA03,알루아연도강판,신성아트월,119 000원㎡,(고내후성파우더코팅기준 초나노폴리쟌코팅:125 000 시공비포함 부가세별도)
FP-G03,아연도강판,신성아트월,115 000원㎡,(고내후성파우더코팅기준 초나노폴리쟌코팅:120 000 시공비포함 부가세별도)
알루아연도강판,알루아연도강판,우정특수,150 000원㎡,(시공비·부가세별도)
유니트패널,유사징크,신성아트월,175 000원㎡,(FU-A03AL3㎜기준 FU-A03(AL2㎜):165 000 FU-G03:160 000 FU-GA03:162 000 시공비포함 부가세별도)
무소음아트패널,알루아연도강판(컬러강판),우정특수,150 000~180 000원㎡,(시공비·부가세별도)
ALUCOBONDPlus,알루미늄복합패널,와이비인터내셔날,150 000원㎡,(코킹포함 시공비·부가세별도)
ALUCOBONDA2,알루미늄복합패널,와이비인터내셔날,160 000원㎡,(코킹포함 시공비·부가세별도)
ALPOLICfr,알루미늄복합패널,비엠씨지,145 000~176 000원㎡,(코킹포함 오픈조인트:234 000 시공비·부가세별도)
CeilingPanel,알루미늄복합패널,비엠씨지,250 000원㎡,(코킹포함 시공비·부가세별도)
ALUCORE,허니컴복합패널,와이비인터내셔날,200 000원㎡,(코킹포함 시공비포함 부가세별도)
허니컴아트패널,허니컴복합패널,우정특수,165 000~260 000원㎡,(시공비·부가세별도)
Ecoteel-STS허니컴패널,허니컴복합패널,해원엠에스씨,145 000원㎡,(시공비·부가세별도)
허니컴패널,허니컴복합패널,디오팬코리아,155 000원㎡,(시공비포함 부가세별도)
POLYMetal-F,금속복합패널,기린산업,88 000원㎡,(시공비포함 부가세별도)
GLASSWOOLMetal,금속복합패널,기린산업,97 000원㎡,(시공비포함 부가세별도)
ROCKMetal,금속복합패널,기린산업,97 000원㎡,(시공비포함 부가세별도)
CRYSTALMetal,금속복합패널,기린산업,145 000원㎡,(시공비포함 부가세별도)
POLYPanel,기타복합패널,기린산업,38 000원㎡,(시공비포함 부가세별도)
GLASSWOOLPanel,기타복합패널,기린산업,41 000원㎡,(시공비포함 부가세별도)
BACEPanel,압출성형시멘트패널,벽산,99 560원㎡,(35㎜기준 시공비37 100포함 부가세17 400포함)
AT-WALL,섬유강화시멘트패널,선이인터내셔날,150 000원㎡,(16㎜기준 시공비포함 부가세별도)
FASIGN트레스파,고밀도목재패널,썬파크,300 000원㎡,(옹벽有 시공비포함 부가세별도)
LOCOVivix패널,고밀도목재패널,로코파트너스,250 000원㎡,(시공비포함 부가세별도)
바리톤,고밀도목재패널,벽산,230 000원㎡,(8㎜기준 시공비포함 부가세별도)
FASIGN스위스펄,고밀도컬러패널,썬파크,260 000원㎡,(옹벽有 시공비포함 부가세별도)
셀렉토갈,폴리카보네이트,두인폴리캠,65 000원㎡,(16㎜기준 시공비·부가세별도)
Stothermclassic,외단열시스템,코스토개발,82 000원㎡,(단열재1종3호100㎜기준 시공비포함 부가세별도)
에너프리,외단열시스템(EIFS),벽산,45 000원㎡,(비드법1종4호140㎜기준 시공비·부가세포함)
제품명,자재명,업체명,설계단가,
유니플로I,무기질레진모르타르,유니온,33 000원㎡,(시공비포함 부가세별도)
유니폭시레진모르타르,에폭시레진모르타르,KCC,31 000원㎡,(시공비포함 부가세별도)
에폭시레진모르타르,에폭시레진모르타르,씨카코리아,30 000원㎡,(시공비포함 부가세별도)
CrownCreteHD(크리트),폴리우레탄레진모르타르,스텔,110 000원㎡,(시공비포함 부가세별도)
스톤코트(폴리머수지모르타르),불포화폴리에스테르레진모르타르,성림건공,30 000원㎡,(시공비포함 부가세별도)
BuffHard,침투식액상바닥강화재,스텔,8 000원㎡,(시공비포함 부가세별도)
제품명,자재명,업체명,설계단가,
듀오라이트,투명복층유리,한국유리,52 000원㎡,(일면반강화기준 양면반강화:59 700 시공비·부가세별도)
KCC투명복층유리,투명복층유리,KCC,42 000원㎡,(24㎜일면반강화기준 양면반강화:50 000 시공비·부가세별도)
듀오라이트,컬러복층유리,한국유리,53 500원㎡,(그린기준 블루·브론즈일면반강화:54 000 양면반강화:61 800 시공비·부가세별도)
KCC컬러복층유리,컬러복층유리,KCC,43 000~46 000원㎡,(일면반강화기준 양면반강화:51 000~54 000 시공비·부가세별도)
솔라그린로이복층유리,컬러(로이)복층유리,KCC,46 000원㎡,(24㎜일면반강화기준 양면반강화:54 000 시공비·부가세별도)
듀오플레니썸,투명(싱글)로이복층유리,한국유리,68 900원㎡,(일면반강화기준 양면반강화:79 900 시공비·부가세별도)
E-GLASS,투명로이복층유리,KCC,64 000원㎡,(24㎜일면반강화기준 양면반강화:72 000 시공비·부가세별도)
솔라론,투명(싱글)로이복층유리,자산유리,780 000원㎡,(시공비포함 부가세별도)
e+GLASS,투명로이복층유리,LG하우시스,65 900원㎡,(일면반강화기준 양면반강화:75 300 TPS간봉·Ar포함 부가세·시공비별도)
듀오플레니썸그린,컬러(싱글)로이복층유리,한국유리,70 400원㎡,(일면반강화기준 양면반강화:81 400 시공비·부가세별도)
듀오플레니썸블루,컬러(싱글)로이복층유리,한국유리,70 800원㎡,(일면반강화기준 양면반강화:81 800 시공비·부가세별도)
E-GLASS,컬러로이복층유리,KCC,64 000원㎡,(24㎜일면반강화기준 양면반강화:72 000 시공비·부가세별도)
솔라론,컬러(싱글)로이복층유리,자산유리,180 000원㎡,(시공비포함 부가세별도)
e+GLASS,컬러로이복층유리,LG하우시스,71 200원㎡,(일면반강화기준 양면반강화:76 900 TPS간봉·Ar포함 부가세·시공비별도)
E-MAX,투명로이복층유리,KCC,75 000원㎡,(24㎜일면반강화기준 양면반강화:83 000 시공비·부가세별도)
쿨라이트SK,투명(더블)로이복층유리,한국유리,82 200원㎡,(일면반강화기준 양면반강화:90 000 시공비·부가세별도)
쿨라이트SK,투명(더블)로이복층유리,한국유리,82 200원㎡,(일면반강화기준 양면반강화:90 000 시공비·부가세별도)
솔라론,투명(더블)로이복층유리,자산유리,170 000원㎡,(시공비포함 부가세별도)
e+GLASS,투명로이복층유리,LG하우시스,85 000원㎡,(일면반강화기준 양면반강화:90 700 TPS간봉·Ar포함 부가세·시공비별도)
E-MAX,컬러로이복층유리,KCC,75 000원㎡,(24㎜일면반강화기준 양면반강화:83 000 시공비·부가세별도)
솔라론,컬러(더블)로이복층유리,자산유리,175 000원㎡,(시공비포함 부가세별도)
e+GLASS,컬러로이복층유리,LG하우시스,85 000원㎡,(일면반강화기준 양면반강화:90 700 TPS간봉·Ar포함 부가세·시공비별도)
쿨라이트XTREME,투명(트리플)로이복층유리,한국유리,122 000원㎡,(일면반강화기준 양면반강화:130 000 시공비·부가세별도)
e+GLASS,컬러로이복층유리,LG하우시스,105 800원㎡,(일면반강화기준 양면반강화:112 100 TPS간봉·Ar포함 부가세·시공비별도)
솔라론,컬러·투명(트리플)로이복층유리,자산유리,195 000원㎡,(시공비포함 부가세별도)
쿨라이트K,반사로이복층유리,한국유리,76 400원㎡,(일면반강화기준 양면반강화:84 200 시공비·부가세별도)
쿨라이트K,반사로이복층유리,한국유리,77 200원㎡,(일면반강화기준 양면반강화:84 900 시공비·부가세별도)
파스텔,반사로이복층유리,한국유리,76 400원㎡,(일면반강화기준 양면반강화:84 300 시공비·부가세별도)
SUN-MILD,반사로이복층유리,KCC,80 000원㎡,(24㎜일면반강화기준 양면반강화:88 000 시공비·부가세별도)
솔라론,반사로이복층유리,자산유리,195 000원㎡,(시공비포함 부가세별도)
솔라론,접합로이복층유리,자산유리,225 000원㎡,(시공비포함 부가세별도)
접합로이복층유리,접합로이복층유리,LG하우시스,93 900원㎡,(비강화 로이1매적용기준 TPS간봉·Ar포함 부가세·시공비별도)
듀오라이트3PLUS,싱글로이삼중유리,한국유리,0원㎡,(일면반강화기준 시공비·부가세별도)
솔라론T-MAX,트리플로이삼중유리,자산유리,285 000원㎡,(시공비포함 부가세별도)
Trenion,싱글로이삼중유리,KCC,106 000~195 000원㎡,(일면반강화기준 조합에따라상이함 시공비·부가세별도)
LG삼중유리,싱글(더블·트리플)로이삼중유리,LG하우시스,102 100원㎡,(비강화 로이2매적용기준 TPS간봉·Ar포함 부가세·시공비별도))
라미라이트사일런스,차음접합유리,한국유리,61 100원㎡,(8.76㎜기준 10.76㎜:65 900 시공비·부가세별도)
라미라이트,접합유리,한국유리,50 300원㎡,(8.76㎜기준 10.76㎜:55 500 시공비·부가세별도)
세큐라이트,강화유리,한국유리,32 600원㎡,(투명10㎜기준 투명12㎜:39 800 시공비·부가세별도)
세큐라이트HS,반강화유리,한국유리,18 600원㎡,(투명6㎜기준 투명8㎜:25 100 시공비·부가세별도)
스팬라이트,세라믹프리트유리(프리트글라스),한국유리,38 000원㎡,(6㎜기준 시공비·부가세별도)
바이오클린,자정유리,한국유리,47 100원㎡,(6㎜기준 8㎜:52 100 시공비·부가세별도)
파이브스타 파이로스위스,방화유리,한국유리,550 000원㎡,(8㎜기준 FIX창방화유리새시시공비포함 부가세별도)
디아망,저철분유리,한국유리,24 000원㎡,(6㎜기준 8㎜:35 000 시공비·부가세별도)
SPGSYSTEM,시스템유리,한국유리,0원㎡,(시스템타입별로별도협의필요)
TPGSYSTEM,시스템유리,KCC,500 000~900 000원㎡,(시공비·부가세별도)
LINITU-ProfiledGlass,유글라스(U-ProfiledGlass),리니트코리아,320 000원㎡,(그린Single기준 Double:450 000 시공비·부가세별도)
U-GLASS,유글라스(U-ProfiledGlass),한국유리,385 000원㎡,(7㎜기준 시공비·부가세별도)
제품명,자재명,업체명,설계단가,
숲으로SE,일반수성페인트,KCC,4 700원㎡,(시공비4 000포함 부가세별도)
숲으로실크,비닐페인트,KCC,5 500원㎡,(시공비4 000포함 부가세별도)
유크릴,아크릴페인트,KCC,5 328원㎡,(시공비4 000포함 부가세별도)
무늬락플러스,다채무늬도료,KCC,8 092원㎡,(시공비5 000포함 부가세별도)
숲으로웰빙,친환경페인트,KCC,5 830원㎡,(시공비4 000포함 부가세별도)
숲으로SE외부용,일반수성페인트,KCC,5 400원㎡,(시공비4 000포함 부가세별도)
숲으로네오실플러스,실리콘페인트,KCC,6 240원㎡,(시공비4 000포함 부가세별도)
숲으로탄성코트,수성탄성페인트,KCC,14 300원㎡,(시공비4 000포함 부가세별도)
코푸럭스,불소도료,KCC,13 000원㎡,(시공비6 000포함 부가세별도)
유니폭시코팅,코팅형에폭시바닥재도장,KCC,6 962원㎡,(시공비포함 부가세별도)
유니폭시라이닝,코팅형에폭시바닥재도장,KCC,39 000원㎡,(시공비포함 부가세별도)
크린폭시(에폭시라이닝),코팅형에폭시바닥재도장,노루페인트,33 000원㎡,(시공비포함 부가세별도)
스포탄,코팅형우레탄바닥재도장(초고경질폴리우레탄계바닥재도장),KCC,41 000원㎡,(시공비포함 부가세별도)
우레네이트(우레탄라이닝),코팅형우레탄바닥재도장(초고경질폴리우레탄계바닥재도장),노루페인트,35 000원㎡,(시공비포함 부가세별도)
하이퍼우레아,폴리우레아계바닥재도장(폴리우레아라이닝),KCC,62 000원㎡,(시공비포함 부가세별도)
Medici,폴리우레아계바닥재도장(폴리우레아코팅),스텔,25 000원㎡,(시공비포함 부가세별도)
디럭스(보급형),비닐타일(혼합질),KCC,8 900원㎡,(시공비2 200포함 부가세별도)
엑설런트(중급),비닐타일(혼합질),KCC,13 700원㎡,(시공비2 200포함 부가세별도)
디럭스(보급형),비닐타일(혼합질),LG하우시스,9 700원㎡,(시공비2 200포함 부가세별도)
GR(중급),비닐타일(혼합질),LG하우시스,12 800원㎡,(시공비3 300포함 부가세별도)
VIP갤런트(중급),비닐타일(혼합질),LG하우시스,17 300원㎡,(시공비3 300포함 부가세별도)
VIP임프레션(고급),비닐타일(혼합질),LG하우시스,21 300원㎡,(사각패턴기준 시공비3 300포함 부가세별도)
디럭스(보급형),비닐타일(혼합질),한화L&C,8 000원㎡,(시공비포함 부가세별도)
디럭스골드(중급),비닐타일(혼합질),한화L&C,9 000원㎡,(시공비포함 부가세별도)
MVP(중급),비닐타일(혼합질),한화L&C,8 000원㎡,(시공비포함 부가세별도)
Clee(고급),비닐타일(혼합질),한화L&C,19 500원㎡,(시공비포함 부가세별도)
VIP마블 포스트(최고급),비닐시트(순수비닐단층타일),LG하우시스,28 300원㎡,(시공비3 300포함 부가세별도)
VIP인레이드(최고급),비닐시트(순수비닐단층타일),LG하우시스,28 300원㎡,(31 300(EDU) 시공비3 300포함 부가세별도)
한화러버타일,비닐타일(RubberTile_러버타일),한화L&C,35 000~55 000원㎡,(시공비포함 부가세별도)
SenseTile,비닐타일(적층형),KCC,14 000원㎡,(시공비3 000포함 부가세별도)
데코타일에코노(보급형),비닐타일(적층형),LG하우시스,16 300원㎡,(시공비3 300포함 부가세별도)
지인하우스(중급),비닐타일(적층형),LG하우시스,19 300원㎡,(시공비3 300포함 부가세별도)
데코타일파인.5(중급),비닐타일(적층형),LG하우시스,20 300원㎡,(시공비3 300포함 부가세별도)
골드타일퍼블릭(보급형),비닐타일(적층형),한화L&C,12 000원㎡,(시공비포함 부가세별도)
Topstrong(중급),비닐시트(PVC시트 무발포층 상업용),KCC,16 000원㎡,(시공비·부가세별도)
Senserong(고급),비닐시트(PVC시트 무발포층 상업용),KCC,18 000원㎡,(시공비·부가세별도)
SensetoneGreat(고급),비닐시트(PVC시트 무발포층 상업용),KCC,19 000원㎡,(시공비·부가세별도)
엘스트롱와이드(보급형),비닐시트(PVC시트 무발포층 상업용),LG하우시스,11 000원㎡,(시공비2 500포함 부가세별도)
엘스트롱노블아트(중급),비닐시트(PVC시트 무발포층 상업용),LG하우시스,17 500원㎡,(시공비3 000포함 부가세별도)
엘스트롱클레버(고급),비닐시트(PVC시트 무발포층 상업용),LG하우시스,24 000원㎡,(시공비3 000포함 부가세별도)
Corona(코로나)(중급),비닐시트(PVC시트 무발포층 상업용),한화L&C,16 000원㎡,(시공비·부가세별도)
Possibility(파서빌리티)(중급),비닐시트(PVC시트 무발포층 상업용),한화L&C,18 000원㎡,(시공비·부가세별도)
Artlong(아트롱)(중급),비닐시트(PVC시트 무발포층 상업용),한화L&C,18 000원㎡,(시공비·부가세별도)
Connection(커넥션)(중급),비닐시트(PVC시트 무발포층 상업용),한화L&C,19 000원㎡,(시공비·부가세별도)
Brita(브리타)(고급),비닐시트(PVC시트 무발포층 상업용),한화L&C,22 000원㎡,(시공비·부가세별도)
숲블루,비닐시트(PVC시트 발포층 주거용),KCC,9 000원㎡,(시공비·부가세별도)
숲황토정,비닐시트(PVC시트 발포층 주거용),KCC,13 800원㎡,(시공비·부가세별도)
숲황토순,비닐시트(PVC시트 발포층 주거용),KCC,17 000원㎡,(시공비·부가세별도)
나노청맥(보급형),비닐시트(PVC시트 발포층 주거용),LG하우시스,10 500원㎡,(시공비1 500포함 부가세별도)
베스트빌자연애(중급),비닐시트(PVC시트 발포층 주거용),LG하우시스,12 500원㎡,(시공비1 500포함 부가세별도)
소리잠(고급),비닐시트(PVC시트 발포층 주거용),LG하우시스,24 000원㎡,(시공비3 000포함 부가세별도)
우븐시트(최고급),비닐시트(PVC시트 발포층 상업용),LG하우시스,38 500원㎡,(시공비3 500포함 부가세별도)
EQ플로어(최고급),비닐시트(PVC시트 발포층 상업용),LG하우시스,41 000원㎡,(시공비5 000포함 부가세별도)
렉스코트(최고급),비닐시트(PVC시트 발포층 상업용),LG하우시스,49 500~87 500원㎡,(시공비5 500포함 부가세별도)
명가(보급형),비닐시트(PVC시트 발포층 주거용),한화L&C,7 000원㎡,(부가세·시공비별도)
퓨전(보급형),비닐시트(PVC시트 발포층 주거용),한화L&C,8 000원㎡,(부가세·시공비별도)
소리지움(중급),비닐시트(PVC시트 발포층 주거용),한화L&C,19 500원㎡,(부가세·시공비별도)
참숯(최고급),비닐시트(PVC시트 발포층 주거용),한화L&C,32 000원㎡,(부가세·시공비별도)
Cozy Stripe Plain(보급형),카펫타일(폴리프로필렌_P.P),KCC,26 700~30 600원㎡,(시공비3 300포함 부가세별도)
Linear Urban(고급),카펫타일(폴리프로필렌_P.P),KCC,37 100~40 300원㎡,(시공비3 300포함 부가세별도)
L-7000세이프(중급),카펫타일(폴리프로필렌_P.P),LG하우시스,23 000원㎡,(시공비2 000포함 부가세별도)
L-3300프레스코(고급),카펫타일(폴리프로필렌_P.P),LG하우시스,32 000원㎡,(시공비2 000포함 부가세별도)
HC-900(보급형),카펫타일(폴리프로필렌_P.P),한화L&C,22 000원㎡,(시공비포함 부가세별도)
HC-5100~5420(중급),카펫타일(폴리프로필렌_P.P),한화L&C,28 000원㎡,(시공비포함 부가세별도)
L-1000트윈스(고급),카펫타일(나일론_Nylon),LG하우시스,35 500원㎡,(시공비2 000포함 부가세별도)
Style(고급),카펫타일(나일론_Nylon),LG하우시스,44 000원㎡,(시공비2 000포함 부가세별도)
L-9600어번랜드 L-9700이지워크(최고급),카펫타일(나일론_Nylon),LG하우시스,47 000원㎡,(시공비2 000포함 부가세별도)
L-9300패스웨이(고급),카펫타일(나일론_Nylon),LG하우시스,47 000원㎡,(시공비2 000포함 부가세별도)
HC-5700~9000(고급),카펫타일(나일론_Nylon),한화L&C,35 000원㎡,(시공비·부가세별도)
KISSEN(최고급),카펫타일(나일론_Nylon),한화L&C,45 000원㎡,(시공비·부가세별도)
FLOSTAR(최고급),카펫타일(나일론_Nylon),한화L&C,53 000원㎡,(시공비·부가세별도)
전도성타일,전도성비닐타일,KCC,27 800원㎡,(시공비2 800포함 부가세별도)
VIP전도성타일,전도성비닐타일,LG하우시스,27 500원㎡,(시공비3 500포함 부가세별도)
한화전도성타일HCD,전도성비닐타일,한화L&C,20 000원㎡,(시공비·부가세별도)
OA타일,OA용대전방지타일,KCC,32 800원㎡,(시공비3 500포함 부가세별도)
LGOA타일,OA용대전방지타일,LG하우시스,31 500원㎡,(시공비2 500포함 부가세별도)
한화GOA타일,OA용대전방지타일,한화L&C,22 000원㎡,(시공비·부가세별도)
DDF_FC(무기질패널),이중바닥재(AcessFloor),벽산,68 098원㎡,(시공비·부가세별도)
DDF_SC(스틸패널+시멘트충진),이중바닥재(AcessFloor),벽산,78 587원㎡,(시공비·부가세별도)
DDF_ST(스틸패널),이중바닥재(AcessFloor),벽산,78 587원㎡,(시공비·부가세별도)
DDF_AW(우드패널),이중바닥재(AcessFloor),벽산,85 724원㎡,(시공비·부가세별도)
DDF_AC(스틸콘크리트패널),이중바닥재(AcessFloor),벽산,126 664원㎡,(시공비·부가세별도)
DDF_AS(스틸패널),이중바닥재(AcessFloor),벽산,126 664원㎡,(시공비·부가세별도)
HDOAFLOOR(무기질패널),이중바닥재(AcessFloor),한화L&C,65 000원㎡,(시공비·부가세별도)
HDOAFLOOR(스틸패널+시멘트충진),이중바닥재(AcessFloor),한화L&C,80 000원㎡,(시공비·부가세별도)
HDOAFLOOR(스틸패널),이중바닥재(AcessFloor),한화L&C,85 000원㎡,(시공비·부가세별도)
HDACCESSFLOOR(스틸패널+시멘트충진),이중바닥재(AcessFloor),한화L&C,130 000원㎡,(시공비·부가세별도)
HDACCESSFLOOR(우드패널),이중바닥재(AcessFloor),한화L&C,135 000원㎡,(시공비·부가세별도)
HDACCESSFLOOR(스틸패널),이중바닥재(AcessFloor),한화L&C,140 000원㎡,(시공비·부가세별도)
LS500H(스틸패널+시멘트충진),이중바닥재(AcessFloor),LG하우시스,60 000~64 000원㎡,(시공비·부가세별도)
LGM500(섬유강화시멘트충진),이중바닥재(AcessFloor),LG하우시스,63 000원㎡,(시공비·부가세별도)
LGS600(스틸패널+시멘트충진),이중바닥재(AcessFloor),LG하우시스,88 000원㎡,(시공비·부가세별도)
